"시점","자치구별(1)","자치구별(2)",항목,합계,합계,합계,합계,합계
"시점","자치구별(1)","자치구별(2)",항목,살인,강도,강간·강제추행,절도,폭력
"2020","합계","종로구",발생,9,7,192,1183,1711
"2020","합계","종로구",검거,7,9,855,944,1528
"2020","합계","중구",발생,2,5,186,1642,1576
"2020","합계","중구",검거,2,6,128,863,1324
"2020","합계","용산구",발생,5,6,230,1111,1617
"2020","합계","용산구",검거,3,6,186,534,1327
"2020","합계","성동구",발생,5,3,115,1016,1223
"2020","합계","성동구",검거,5,3,98,565,1103
"2020","합계","광진구",발생,2,4,255,1664,1676
"2020","합계","광진구",검거,2,4,224,874,1407
"2020","합계","동대문구",발생,10,6,161,1440,1784
"2020","합계","동대문구",검거,8,5,142,713,1597
"2020","합계","중랑구",발생,10,5,183,1506,2022
"2020","합계","중랑구",검거,9,6,153,889,1724
"2020","합계","성북구",발생,4,3,142,988,1430
"2020","합계","성북구",검거,4,2,121,580,1240
"2020","합계","강북구",발생,9,5,159,780,1817
"2020","합계","강북구",검거,8,4,132,490,1625
"2020","합계","도봉구",발생,-,2,82,861,1234
"2020","합계","도봉구",검거,-,2,87,379,1022
"2020","합계","노원구",발생,4,3,169,1404,2163
"2020","합계","노원구",검거,3,3,148,646,1781
"2020","합계","은평구",발생,4,4,171,1371,1840
"2020","합계","은평구",검거,4,3,145,756,1623
"2020","합계","서대문구",발생,3,2,159,1077,1292
"2020","합계","서대문구",검거,3,1,149,524,1029
"2020","합계","마포구",발생,9,4,348,1483,1844
"2020","합계","마포구",검거,8,3,287,679,1557
"2020","합계","양천구",발생,5,3,109,1517,1582
"2020","합계","양천구",검거,5,3,90,718,1270
"2020","합계","강서구",발생,10,6,265,1689,2445
"2020","합계","강서구",검거,9,5,222,1070,2087
"2020","합계","구로구",발생,6,5,197,1763,2204
"2020","합계","구로구",검거,6,5,142,1008,1823
"2020","합계","금천구",발생,4,7,117,999,1471
"2020","합계","금천구",검거,4,6,93,553,1310
"2020","합계","영등포구",발생,7,6,315,2188,2701
"2020","합계","영등포구",검거,4,5,252,953,2157
"2020","합계","동작구",발생,1,1,226,1341,1631
"2020","합계","동작구",검거,1,2,121,592,1370
"2020","합계","관악구",발생,12,3,403,2229,2614
"2020","합계","관악구",검거,12,3,351,1137,2355
"2020","합계","서초구",발생,5,6,396,2021,2173
"2020","합계","서초구",검거,5,4,303,960,1780
"2020","합계","강남구",발생,6,14,708,2951,3677
"2020","합계","강남구",검거,5,11,627,1491,3111
"2020","합계","송파구",발생,6,13,287,2429,2675
"2020","합계","송파구",검거,6,17,235,1006,2280
"2020","합계","강동구",발생,3,15,188,1640,1942
"2020","합계","강동구",검거,3,14,167,781,1697
