,매장명,주소,DT,위도,경도
0,김해구산DT,경상남도 김해시 김해대로 1918 (구산동)1522-3232,pin_generalDT,35.255314991,128.866384281
1,김해진영DT,경상남도 김해시 진영읍 여래로20번길 34-26 1522-3232,pin_generalDT,35.3060040933565,128.731753216114
2,신세계김해,경상남도 김해시 김해대로 2232 신세계백화점 1층1522-3232,pin_general,35.22848288,128.873045617
3,김해이마트,경상남도 김해시 김해대로 2232 김해이마트 1층1522-3232,pin_general,35.229997434,128.872135886
4,김해대로DT,경상남도 김해시 김해대로 2465 1522-3232,pin_generalDT,35.227992,128.896545
5,김해외동DT,경상남도 김해시 분성로 146 (외동)1522-3232,pin_generalDT,35.22962555422071,128.86294818906367
6,김해율하,경상남도 김해시 율하카페길 77 (관동동) 1층1522-3232,pin_general,35.176597,128.812782
7,김해삼계,경상남도 김해시 가야로 182 (삼계동)1522-3232,pin_general,35.261527,128.871614
8,김해내동,경상남도 김해시 경원로 67 (내동)1522-3232,pin_general,35.2371519,128.86752079999996
9,서김해IC DT,경상남도 김해시 금관대로 820-22 (명법동)1522-3232,pin_generalDT,35.2038771973106,128.837970580838
10,김해주촌DT,경상남도 김해시 주촌면 선천로 99 1522-3232,pin_generalDT,35.23513407443546,128.84338277636144
11,김해가야로DT,경상남도 김해시 가야로 450 (동상동)1522-3232,pin_generalDT,35.2409026,128.8843414
12,장유대청,경상남도 김해시 계동로 213 (대청동)1522-3232,pin_general,35.1904824838804,128.801458773585
13,장유율하,경상남도 김해시 율하6로 67 1층 105호 (장유동)1522-3232,pin_general,35.17158031793282,128.82264103029556
14,진영신도시,경상남도 김해시 진영읍 장등로10번길 1 1522-3232,pin_general,35.3074088,128.7352952
15,김해율하신도시,경상남도 김해시 율하3로 32 (율하동)1522-3232,pin_general,35.170945,128.813901
16,김해금관대로DT,경상남도 김해시 금관대로 1293 (내동)1522-3232,pin_generalDT,35.23984059831166,128.86103985434852
17,밀양DT,경상남도 밀양시 밀양대로 1792 (삼문동)1522-3232,pin_generalDT,35.4853274,128.7512487
18,경남사천DT,경상남도 사천시 사천읍 사천대로 1844 1522-3232,pin_generalDT,35.080980061,128.083555012
19,사천벌리,경상남도 사천시 주공로 31 (벌리동)1522-3232,pin_general,34.9411367,128.0863809
20,진주평거,경상남도 진주시 진양호로 206 BYC빌딩1층1522-3232,pin_general,35.172324,128.060063
21,진주칠암DT,경상남도 진주시 진주대로829번길 2 (주약동)1522-3232,pin_generalDT,35.1749073,128.0929658
22,진주중안,경상남도 진주시 진양호로527번길 3 (중안동)1522-3232,pin_general,35.1929303,128.0830383
