지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,해안주유소,부산 강서구 낙동남로 432,SK에너지,070-8894-3569,Y,-,1549,1399,-
부산광역시,신창에너지㈜직영 송정셀프주유소,부산 강서구 낙동남로 127 (송정동),S-OIL,051-972-5104,Y,-,1549,1409,-
부산광역시,은마석유 경기장주유소,부산 강서구 낙동북로 364,GS칼텍스,051-971-7956,Y,1898,1557,1417,1300
부산광역시,동방석유㈜직영 대저주유소,부산 강서구 낙동북로 209 (대저1동),SK에너지,051-971-2135,Y,-,1557,1417,-
부산광역시,우리2주유소,부산 강서구 낙동북로 142,알뜰주유소,051-971-5585,Y,-,1557,1417,-
부산광역시,서강주유소,부산 강서구 낙동북로 42 (강동동),SK에너지,051-971-8484,Y,-,1557,1417,-
부산광역시,세기상사(주) 공항주유소,부산 강서구 공항로 469 (대저2동),S-OIL,051-941-7237,N,-,1569,1449,-
부산광역시,구랑주유소,부산 강서구 가락대로 546 (구랑동),GS칼텍스,051-972-1571,Y,-,1569,1429,-
부산광역시,㈜BSJ신항만물류주유소,부산 강서구 가락대로 834,S-OIL,051-831-9208,Y,-,1569,1429,-
부산광역시,CJ대한통운㈜ 신항 P-OIL,부산 강서구 가락대로 1027,GS칼텍스,051-832-6717,Y,1825,1569,1429,-
부산광역시,부산신항주유소,부산 강서구 가락대로 706,HD현대오일뱅크,051-971-5104,Y,-,1569,1429,-
부산광역시,OS신항주유소,부산 강서구 가락대로 845,GS칼텍스,051-972-6560,Y,-,1569,1429,-
부산광역시,지에스칼텍스㈜ 동성셀프주유소,부산 강서구 명지국제8로 272,GS칼텍스,051-292-0895,Y,1789,1569,1489,-
부산광역시,(주)시큐 국제산단주유소,부산 강서구 생곡로 272,GS칼텍스,051-714-2208,Y,-,1569,1429,1300
부산광역시,공항대로주유소,부산 강서구 공항로 1217 (대저1동),알뜰주유소,051-973-8122,Y,-,1569,1429,1250
